MASV1,LA1003,MI1003,PE1003,CH1003,MT1003,PH1003,LA1005,PE1005,MT1005,MT1007,LA1007,MT1009,LA1009,MT2001,PE1007,SP1007,SP1003,SP1005,SP1009
60856428.0,6.5,,6.0,6.0,3.5,7.5,7.5,7.0,8,8.0,7.0,8.5,6.0,7.5,6.0,,8.5,7.0,7.0
60861500.0,,,,,,,,,,,,,,6.0,,,,,
60865301.0,10.0,KD,VT,,VT,0.0,6.0,,,VT,,,,,,,,,
60878709.0,0.0,DT,VT,,VT,0.0,,,,VT,,,,,,,,,
60881485.0,10.0,,5.0,8.5,8.5,8.0,10.0,6.0,7.5,7.0,8.5,6.5,10.0,,6.0,,7.0,,
60883564.0,7.0,,5.0,9.0,7.5,6.5,7.0,5.0,6.5,8.5,,9.0,,,,,,,
60889375.0,,,5.0,,,,,,,,,,,,,,,,
60890220.0,6.5,DT,5,6.0,4.5,6.0,5.5,7.0,4.0,6,3.0,3.0,2.5,6.0,5.0,,2.5,,4.5
60895328.0,,DT,VT,13.0,1.5,3.5,,5.0,VT,1.5,,,,,13.0,,,,
60902715.0,7.0,,7.0,7.5,7.0,7.5,7.5,7.0,7,8,8.0,8.5,7.0,6.0,5.0,,9.0,,
60907331.0,,,6.0,6.5,5.0,5.0,,6.0,1.0,6.0,,,,1.0,1.0,6.0,,,
60909650.0,8.5,,5.0,8.5,4.5,6.5,7.5,5.0,6.5,7.5,8.5,9.5,,7.0,5.0,8.0,,,
60910293.0,10.0,DT,6,7.0,7.5,7.0,10.0,7.0,5.5,7.5,8.5,9.5,8.0,,5.0,,8.5,7.5,7.0
60911011.0,6.5,,7.0,7.0,7.5,2.5,7.5,7.0,,9.0,,,,,,,8.5,,
60918003.0,7.5,,7.0,5.5,1.0,5.0,4.0,7.0,,5.5,6.0,5.5,,5.0,5.0,5.5,5.0,6.0,
60922258.0,3.5,DT,6,5.5,5,6.0,,5.0,5,7,,7.5,,4.0,5.0,4.5,5.5,,5.5
60924259.0,8.0,DT,6,6.0,5.5,8.0,7.5,6.0,,8,7.5,7.0,6.5,,5.0,,6.5,6.0,7.0
60924749.0,0.0,,5.0,,0.0,5.5,,5.0,,4.5,,,,,13.0,,13.0,,
60925383.0,12.0,,13.0,13.0,13.0,13.0,12.0,,,13.0,12.0,,12.0,,,,,,
60926514.0,10.0,,7.0,7.0,6.0,7.0,8.5,7.0,,6.5,7.0,10.0,,6.5,6.0,8.0,7.5,7.5,
60929944.0,,,7.0,5.0,7.0,5.0,,8.0,5.0,6.5,,,,,,,,,
